utc_datetime,usd_price
2022-01-01,47309.21
2022-01-02,47317.14
2022-01-03,46891.53
2022-01-04,46498.01
2022-01-05,45971.16
2022-01-06,43210.68
2022-01-07,42056.26
2022-01-08,41741.49
2022-01-09,41991.15
2022-01-10,41690.86
2022-01-11,42244.42
2022-01-12,43245.03
2022-01-13,43475.74
2022-01-14,42826.16
2022-01-15,43218.33
2022-01-16,43142.17
2022-01-17,42623.96
2022-01-18,42012.25
2022-01-19,41963.52
2022-01-20,42280.65
2022-01-21,38769.36
2022-01-22,35585.06
2022-01-23,35476.53
2022-01-24,35202.68
2022-01-25,36549.52
2022-01-26,37569.52
2022-01-27,36425.07
2022-01-28,37075.2
2022-01-29,37872.5
2022-01-30,38012.03
2022-01-31,37615.26
2022-02-01,38585.03
2022-02-02,38170.27
2022-02-03,36879.59
2022-02-04,38606.85
2022-02-05,41584.42
2022-02-06,41635.39
2022-02-07,43158.85
2022-02-08,43969.39
2022-02-09,43982.32
2022-02-10,44387.63
2022-02-11,43250.6
2022-02-12,42412.57
2022-02-13,42394.85
2022-02-14,42290.45
2022-02-15,43884.86
2022-02-16,44039.05
2022-02-17,42790.96
2022-02-18,40494.38
2022-02-19,40120.13
2022-02-20,38878.54
2022-02-21,38642.76
2022-02-22,37480.18
2022-02-23,38297.82
2022-02-24,36185.99
2022-02-25,38873.18
2022-02-26,39291.32
2022-02-27,38829.29
2022-02-28,39261.69
2022-03-01,43656.14
2022-03-02,44090.37
2022-03-03,43170.8
2022-03-04,41094.02
2022-03-05,39208.1
2022-03-06,39119.87
2022-03-07,38279.95
2022-03-08,38647.38
2022-03-09,41484.77
2022-03-10,39707.31
2022-03-11,39007.53
2022-03-12,39126.99
2022-03-13,38927.28
2022-03-14,38703.8
2022-03-15,39021.76
2022-03-16,40186.22
2022-03-17,40941.81
2022-03-18,40960.1
2022-03-19,41864.25
2022-03-20,41664.65
2022-03-21,41117.12
2022-03-22,42405.23
2022-03-23,42268.52
2022-03-24,43288.73
2022-03-25,44253.33
2022-03-26,44366.26
2022-03-27,44854.32
2022-03-28,47226.49
2022-03-29,47497.49
2022-03-30,47230.6
2022-03-31,47160.25
